Número,Nome,Estrelas,Idade (anos),Número de releases,Url
217,Azure/azure-sdk-for-java,1809,11.27,1000,https://github.com/Azure/azure-sdk-for-java
218,open-telemetry/opentelemetry-java,1470,4.05,52,https://github.com/open-telemetry/opentelemetry-java
219,GoogleContainerTools/jib,12607,5.14,145,https://github.com/GoogleContainerTools/jib
220,ithuangqing/java,111,4.76,0,https://github.com/ithuangqing/java
221,loiane/javascript-datastructures-algorithms,4057,8.81,0,https://github.com/loiane/javascript-datastructures-algorithms
222,engindemirog/javaScriptStarterKit,330,1.81,0,https://github.com/engindemirog/javaScriptStarterKit
223,crossbario/autobahn-java,1491,11.48,7,https://github.com/crossbario/autobahn-java
224,NanoHttpd/nanohttpd,6550,10.59,3,https://github.com/NanoHttpd/nanohttpd
225,hellokaton/java-bible,2980,7.5,0,https://github.com/hellokaton/java-bible
226,iamshaunjp/JavaScript-DOM-Tutorial,300,5.6,0,https://github.com/iamshaunjp/JavaScript-DOM-Tutorial
227,socketio/socket.io-client-java,5086,9.88,5,https://github.com/socketio/socket.io-client-java
228,yasserg/crawler4j,4369,11.2,3,https://github.com/yasserg/crawler4j
229,kubernetes-client/javascript,1625,5.88,11,https://github.com/kubernetes-client/javascript
230,dahuoyzs/javapdf,1736,2.87,0,https://github.com/dahuoyzs/javapdf
231,phith0n/JavaThings,1247,2.65,0,https://github.com/phith0n/JavaThings
232,qos-ch/slf4j,2103,13.57,0,https://github.com/qos-ch/slf4j
233,aliyun/aliyun-openapi-java-sdk,1342,7.65,0,https://github.com/aliyun/aliyun-openapi-java-sdk
234,bytedeco/javacpp-presets,2326,8.9,9,https://github.com/bytedeco/javacpp-presets
235,coodict/javascript-in-one-pic,6684,7.73,0,https://github.com/coodict/javascript-in-one-pic
236,spring-projects/spring-boot,66112,10.4,163,https://github.com/spring-projects/spring-boot
237,prometheus/client_java,1934,10.11,34,https://github.com/prometheus/client_java
238,zeromq/jeromq,2190,10.62,0,https://github.com/zeromq/jeromq
239,lzyzsd/Awesome-RxJava,4834,7.71,0,https://github.com/lzyzsd/Awesome-RxJava
240,ScottOaks/JavaPerformanceTuning,624,9.0,0,https://github.com/ScottOaks/JavaPerformanceTuning
241,hub4j/github-api,983,12.91,44,https://github.com/hub4j/github-api
242,amitshekhariitbhu/from-java-to-kotlin,5863,5.82,0,https://github.com/amitshekhariitbhu/from-java-to-kotlin
243,jenv/jenv,4752,10.14,4,https://github.com/jenv/jenv
244,yeungon/In-JavaScript-we-trust,1305,3.58,0,https://github.com/yeungon/In-JavaScript-we-trust
245,aimacode/aima-java,1467,8.01,3,https://github.com/aimacode/aima-java
246,datastax/java-driver,1285,10.32,13,https://github.com/datastax/java-driver
247,Asabeneh/JavaScript-for-Everyone,850,4.07,0,https://github.com/Asabeneh/JavaScript-for-Everyone
248,otale/tale,4829,6.05,9,https://github.com/otale/tale
249,SuperMap/iClient-JavaScript,742,5.6,22,https://github.com/SuperMap/iClient-JavaScript
